,year,title,plot
1,1999,Message in a Bottle,"who meets by fate ,  shall be sealed by fate .  theresa osborne is running along the beach when she stumbles upon a bottle washed up on the shore .  inside is a message ,  reading the letter she feels so moved and yet she felt as if she has violated someone ' s thoughts .  in love with a man she has never met ,  theresa tracks down the author of the letter to a small town in wilmington ,  two lovers with crossed paths .  but yet one can ' t let go of their past ."
4,1978,Midnight Express,"the true story of billy hayes ,  an american college student who is caught smuggling drugs out of turkey and thrown into prison ."
5,1996,Primal Fear,"martin vail left the chicago da ' s office to become a successful criminal lawyer ,  that success predicated on working on high profile cases .  as such ,  he fights to get the case of naive nineteen year old rural kentuckian aaron stampler ,  an altar boy accused of the vicious bludgeoning death of archbishop rushman of chicago .  the story that aaron tells marty is that he ,  abused by his father ,  was in the room when the murder was committed by a third party ,  a shadowy figure he did not see ,  before he blacked out ,  which commonly happens to him .  not remembering anything during the blackout period ,  he awoke covered in the archbishop ' s blood ,  his fright the reason he ran from the police .  he also states that he had no reason to kill the archbishop ,  who he loved as the father he wished he had .  marty doesn ' t care if he is guilty or innocent ,  but needs to know the truth to defend him adequately .  unlike the rest of the world ,  marty does believe his story ,  he who hopes he can use aaron ' s general appearance of being an innocent to his advantage .  the powerful state attorney ,  john shaughnessy ,  who marty has had many a moral run - in ,  wants a first degree murder conviction and the death penalty in this case .  he appoints to the case janet venable ,  who still has bad feelings toward marty ,  an ex - lover ,  their six month relationship which ended badly .  although the case looks to be a slam dunk for janet ,  her career may be made or broken by its outcome .  in building his case ,  marty comes across some major pieces of information ,  some pertaining to the archbishop himself ,  and one uncovered by dr .  molly arrington about aaron ,  she a psychiatrist hired by marty to assess aaron ' s mental state .  these pieces of information as a collective pose a problem for marty in how to mount a credible and legitimate defense for his client .  it is more of a moral dilemma for marty if only because he believes the life of a young man ,  who he believes in ,  is at stake ."
6,1950,Crisis,"husband and wife americans dr .  eugene and mrs .  helen ferguson  -  he a renowned neurosurgeon  -  are traveling through latin america for a vacation .  when they make the decision to return to new york earlier than expected ,  they find they are being detained by the military in the country they are in .  ultimately ,  they learn the reason is that president raoul farrago ,  the tyrannical military dictator of the country ,  has been diagnosed with a brain tumor and will die without an operation to remove it ,  farrago choosing gene as the doctor to lead the surgical team .  because of the volatile politics within the country and for his own safety as revolutionary forces would like to see him dead ,  farrago refuses to go to a hospital for the operation ,  instead it to be done at his home .  despite not particularly liking farrago or his ways ,  gene agrees purely in his oath as a doctor .  however ,  he ends up being caught in the middle between farrago / his brutal regime and the revolutionaries ,  each side who is willing to use him and helen to get what they want ,  namely the life or death of farrago ."
7,1959,The Tingler,"the coroner and scientist dr .  warren chapin is researching the shivering effect of fear with his assistant david morris .  dr .  warren is introduced to ollie higgins ,  the relative of a criminal sentenced to the electric chair ,  while making the autopsy of the corpse ,  and he makes a comment about the tingler - effect to him .  ollie asks for a lift to dr .  warner ,  and introduces his deaf - mute wife martha higgins ,  who manages a theater of their own .  dr .  warner returns home ,  where he lives with his unfaithful and evil wife isabel stevens chapin and her sweet sister lucy stevens .  dr .  warner ,  upset with the situation with his wife ,  threatens and uses her as a subject of his experiment .  when martha dies of fear ,  dr .  warner makes her autopsy and finds a creature that lives inside every human being ,  feeds with fear and is controlled by the scream .  once martha was not able to scream ,  the tingler was not rendered harmless and became enormous .  when the living being escapes ,  dr .  warner and ollie chase it in a crowded movie theater ."
9,1961,Barabbas,"epic account of the thief barabbas ,  who was spared crucifixion when pilate manipulated the crowd into to pardoning him ,  rather than jesus .  struggling with his spirituality ,  barabbas goes through many ordeals leading him to the gladiatorial arena ,  where he tries to win his freedom and confront his inner demons ,  ultimately becoming a follower of the man who was crucified in his place ."
11,2005,Rize,"reveals a groundbreaking dance phenomenon that ' s exploding on the streets of south central ,  los angeles .  taking advantage of unprecedented access ,  this documentary film bring to first light a revolutionary form of artistic expression borne from oppression .  the aggressive and visually stunning dance modernizes moves indigenous to african tribal rituals and features mind - blowing ,  athletic movement sped up to impossible speeds .  we meet tommy johnson  ( tommy the clown )  ,  who first created the style as a response to the  N  rodney king riots and named it clowning ,  as well as the kids who developed the movement into what they now call krumping .  the kids use dance as an alternative to gangs and hustling :  they form their own troupe and paint their faces like warriors ,  meeting to outperform rival gangs of dancers or just to hone their skills .  for the dancers ,  krumping becomes a way of life -  - and ,  because it ' s authentic expression  ( in complete opposition to the bling - bling hip - hop culture )  ,  the dance becomes a vital part of who they are ."
13,2000,The Yards,"in the rail yards of queens ,  contractors repair and rebuild the city ' s subway cars .  these contracts are lucrative ,  so graft and corruption are rife .  when leo handler gets out of prison ,  he finds his aunt married to frank olchin ,  one of the big contractors ;  he ' s battling with a minority - owned firm for contracts .  willie gutierrez ,  leo ' s best friend ,  is frank ' s bag man and heads a crew of midnight saboteurs who ruin the work of the puerto rican - owned firm .  leo needs a job ,  so willie pays him to be his back - up .  then things go badly wrong one night ,  a cop ids leo ,  and everyone now wants him out of the picture .  besides his ailing mom and his cousin erica ,  to whom can leo turn ?"
16,1992,Used People,"at her husband ' s funeral ,  pearl  ( shirley maclaine )  ,  jewish mother of two divorced and antagonistic daughters ,  meets an old italian friend  ( marcello mastroianni )  of her husband ,  whose advice years previously had stopped the husband leaving home .  for  N  years he ,  now a widower ,  has secretly loved pearl .  .  ."
21,2004,My Baby's Daddy,"lonnie ,  dominic and  ' g '  are three bachelor buddies from the hood who ,  after a lifetime of hard - partying ,  are in for a crude awakening when their respective girlfriends all get pregnant at the same time .  the fathers - to - be embark on an emotional journey while learning as much about themselves as they do about love and fatherhood ."
